Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
7,2,2,,1,1,2,1,1,,,1,,1,,,,,,,,,
1,4,1,,,,,1,1,,,,,1,,1,1,,,,,,
2,,5,1,1,,1,,2,,,,1,,,,,,,,,,
1,,,5,4,,,,,,1,,2,,,,,,,,,,
5,,2,2,7,2,,,,,,,3,1,,,,,1,,,,
5,,,,2,11,,1,,,1,,,4,,,1,,,,,,
5,,,,1,3,8,3,,,,,,,,,1,1,5,1,,,
5,1,,,,,3,2,1,,,,,,,1,,,,,1,,
2,,,,2,,1,,2,,,,,,,,,,1,,,2,
,,,,,,,,1,3,,1,2,,,1,,,1,,,,2
,,1,,,,,,2,2,4,4,,,,,,,,1,,,
1,,1,,3,1,,,,1,2,2,,,,,,,,,1,,
2,,1,,1,,,1,,,,,5,3,,,,,,,,,
4,,1,,,2,1,,1,,,,3,3,,,,1,,,,,
3,,,1,,2,2,,,,,,,1,7,,,,,,,,
2,,,,,,,,3,,,,,,,3,4,1,,,,,1
6,,,,3,1,3,,1,,,,,,,,12,,,,,,1
1,1,,,,1,6,,,,,,,,,,,6,3,,,,
4,1,,,,,1,,,,,,,,,,,3,4,1,,,
1,,,,,,,1,,,,,,,,,,,1,3,,,
2,,,,1,,1,1,,,,,,,1,,1,,,,1,,1
2,1,,,,,,,,1,,,,,,,,,,,,,
2,,,2,,,,,1,3,,,,1,,,,,,,,,7

