Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
79,10,18,1,12,14,9,17,11,8,2,2,6,5,2,3,1,2,2,,5,7,5
33,21,9,2,5,3,7,5,14,1,1,4,4,2,1,,,1,1,2,2,4,7
41,7,30,6,11,8,5,5,10,11,6,2,1,,2,,4,,1,,,2,1
20,9,8,6,5,6,5,3,7,3,5,10,5,4,1,,3,1,1,,1,1,5
25,6,19,5,19,17,4,4,5,2,3,6,8,8,3,1,6,,2,,,2,7
39,7,12,4,10,41,12,13,17,10,2,3,3,8,3,8,13,2,2,1,1,3,6
33,4,12,1,8,9,16,9,4,2,2,8,4,7,1,8,8,4,7,3,1,5,2
37,3,1,4,2,2,7,17,3,,3,2,2,1,,4,3,3,3,5,3,6,
24,12,6,3,5,3,8,5,30,9,1,1,1,5,2,1,3,2,,1,1,,3
22,5,11,1,4,3,4,7,9,19,6,5,6,2,1,5,5,,,2,1,,11
14,8,8,3,9,6,6,2,4,6,9,7,2,2,3,4,1,,2,,,,6
23,3,8,3,8,12,3,2,19,11,8,20,9,3,1,3,1,1,3,,1,1,17
35,4,18,8,9,8,3,8,10,4,4,9,30,18,6,5,3,,4,3,1,2,6
24,7,9,4,6,25,5,4,4,5,4,6,11,27,,4,6,,4,,,1,4
16,3,4,1,3,6,2,6,6,3,,2,2,5,7,8,3,,6,,1,,2
26,2,9,4,9,14,10,7,6,6,1,3,3,3,6,16,12,3,11,3,1,1,7
29,4,6,2,2,14,9,6,3,7,4,2,3,14,9,10,31,1,6,1,1,,4
30,4,5,1,3,7,15,6,4,1,2,1,1,3,3,5,7,23,16,14,2,3,5
15,3,5,2,1,3,8,3,1,,2,,,,2,2,6,6,15,2,,1,1
10,2,4,,1,3,3,4,2,,,,,,1,2,4,1,1,9,,,3
14,2,3,3,3,3,5,8,5,5,,1,1,,,1,2,3,2,,8,5,1
10,12,,,1,4,1,4,4,2,,1,,2,1,,,1,,2,2,10,1
20,5,5,,6,1,2,6,10,16,1,9,1,,,,2,,1,2,2,2,14
