Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
40,9,2,,3,4,9,5,4,1,1,3,5,,,2,4,,1,,4,1,2
19,16,1,,2,2,2,1,6,2,,1,,,1,,1,,1,1,,2,1
15,5,4,1,4,,1,,1,,6,2,,,,,1,,,,,1,1
3,2,2,16,4,5,2,,2,,5,3,2,2,,1,,,,,,,
13,2,1,5,19,5,3,,,1,3,1,5,,,,,,,,,1,
16,2,3,2,6,32,5,2,4,2,,1,4,4,4,3,2,1,,,1,2,
16,,1,,1,4,15,5,3,2,1,,,2,,1,4,4,2,1,,1,
11,3,,,1,1,3,17,,3,1,,,1,,2,,,,2,2,2,
13,2,2,,,,1,3,17,3,2,,,,,2,1,,,,,4,
6,2,5,1,,,1,,6,16,6,2,1,,1,2,,,,,1,2,7
3,1,4,2,2,2,,,,1,18,4,,,,,,,1,,,2,1
7,1,1,2,,1,1,,,,5,17,2,,,,1,,2,2,,1,
8,1,3,6,5,6,,1,,2,2,1,15,9,1,,,,,,,2,
12,,,1,5,5,,2,,,,1,7,20,2,,1,,,,,1,1
4,,,,1,3,2,,,1,1,1,,1,11,5,2,,1,,,1,
5,2,,,,2,3,,,,2,,1,4,5,9,6,1,,,,,
13,1,1,1,2,3,1,4,,1,1,,2,2,1,5,28,3,1,,1,,1
6,,,1,,2,11,4,,,2,,,,1,1,,16,5,3,3,,
3,,1,1,,,5,2,2,,,,,,,1,,2,15,1,,,
3,1,,,,,1,2,1,1,,,,,,,1,1,1,5,,1,
6,1,,,,1,3,4,,,,,,,,1,,,,,10,1,
5,3,,,,,,3,,,,,,1,,,1,,,1,1,7,2
4,2,2,1,2,2,,1,3,6,2,,,,,,,,1,,1,4,18

